,title,embedding_dim,rnn_units,rnn_type,optimizer,activation,dropout,accuracy,loss,precision,recall
28,['$100_$32_$SimpleRNN_$sgd'],[100],[32],['SimpleRNN'],['sgd'],['relu'],[0.2],[0.9085201621055603],[0.2643486261367798],[0.790123462677002],[0.42953020334243774]
29,['$100_$32_$SimpleRNN_$sgd'],[100],[32],['SimpleRNN'],['sgd'],['relu'],[0.4],[0.8663676977157593],[0.285685271024704],[0.0],[0.0]
30,['$100_$32_$SimpleRNN_$sgd'],[100],[32],['SimpleRNN'],['sgd'],['tanh'],[0.2],[0.9399102926254272],[0.17774319648742676],[1.0],[0.5503355860710144]
31,['$100_$32_$SimpleRNN_$sgd'],[100],[32],['SimpleRNN'],['sgd'],['tanh'],[0.4],[0.949775755405426],[0.1431511789560318],[0.8120805621147156],[0.8120805621147156]
32,['$100_$64_$SimpleRNN_$rmsprop'],[100],[64],['SimpleRNN'],['rmsprop'],['relu'],[0.2],[0.9874439239501953],[0.06130601838231087],[0.9927007555961609],[0.9127516746520996]
33,['$100_$64_$SimpleRNN_$rmsprop'],[100],[64],['SimpleRNN'],['rmsprop'],['relu'],[0.4],[0.9802690744400024],[0.07087074965238571],[0.9379310607910156],[0.9127516746520996]
34,['$100_$64_$SimpleRNN_$rmsprop'],[100],[64],['SimpleRNN'],['rmsprop'],['tanh'],[0.2],[0.9847533702850342],[0.10749119520187378],[1.0],[0.8859060406684875]
35,['$100_$64_$SimpleRNN_$rmsprop'],[100],[64],['SimpleRNN'],['rmsprop'],['tanh'],[0.4],[0.9838564991950989],[0.08101507276296616],[0.9781022071838379],[0.899328887462616]
36,['$100_$64_$SimpleRNN_$sgd'],[100],[64],['SimpleRNN'],['sgd'],['relu'],[0.2],[0.9479820728302002],[0.19716569781303406],[0.9099099040031433],[0.6778523325920105]
37,['$100_$64_$SimpleRNN_$sgd'],[100],[64],['SimpleRNN'],['sgd'],['relu'],[0.4],[0.8672645688056946],[0.36415234208106995],[1.0],[0.00671140942722559]
38,['$100_$64_$SimpleRNN_$sgd'],[100],[64],['SimpleRNN'],['sgd'],['tanh'],[0.2],[0.9596412777900696],[0.1447928100824356],[0.9482758641242981],[0.7382550239562988]
